op[0][2][14]=Max([0][4][14]:0.000000	[0][5][14]:0.000000	[1][4][14]:0.000000	[1][5][14]:0.000000)=0.000000
op[0][2][15]=Max([0][4][15]:0.000000	[0][5][15]:0.000000	[1][4][15]:0.000000	[1][5][15]:0.000000)=0.000000
op[0][2][16]=Max([0][4][16]:0.040415	[0][5][16]:0.040415	[1][4][16]:0.040415	[1][5][16]:0.040415)=0.040415
op[0][2][17]=Max([0][4][17]:0.000000	[0][5][17]:0.000000	[1][4][17]:0.000000	[1][5][17]:0.000000)=0.000000
op[0][2][18]=Max([0][4][18]:0.000000	[0][5][18]:0.000000	[1][4][18]:0.000000	[1][5][18]:0.000000)=0.000000
op[0][2][19]=Max([0][4][19]:0.001898	[0][5][19]:0.001898	[1][4][19]:0.001898	[1][5][19]:0.001898)=0.001898
op[0][2][20]=Max([0][4][20]:0.000000	[0][5][20]:0.000000	[1][4][20]:0.000000	[1][5][20]:0.000000)=0.000000
op[0][2][21]=Max([0][4][21]:0.000000	[0][5][21]:0.000000	[1][4][21]:0.000000	[1][5][21]:0.000000)=0.000000
op[0][2][22]=Max([0][4][22]:0.000000	[0][5][22]:0.000000	[1][4][22]:0.000000	[1][5][22]:0.000000)=0.000000
op[0][2][23]=Max([0][4][23]:0.000000	[0][5][23]:0.000000	[1][4][23]:0.000000	[1][5][23]:0.000000)=0.000000
op[0][2][24]=Max([0][4][24]:0.000000	[0][5][24]:0.000000	[1][4][24]:0.000000	[1][5][24]:0.000000)=0.000000
op[0][2][25]=Max([0][4][25]:0.000000	[0][5][25]:0.000000	[1][4][25]:0.000000	[1][5][25]:0.000000)=0.000000
op[0][2][26]=Max([0][4][26]:0.000000	[0][5][26]:0.000000	[1][4][26]:0.000000	[1][5][26]:0.000000)=0.000000
op[0][2][27]=Max([0][4][27]:0.000000	[0][5][27]:0.000000	[1][4][27]:0.000000	[1][5][27]:0.000000)=0.000000
op[0][2][28]=Max([0][4][28]:0.000000	[0][5][28]:0.000000	[1][4][28]:0.000000	[1][5][28]:0.000000)=0.000000
op[0][2][29]=Max([0][4][29]:0.000000	[0][5][29]:0.000000	[1][4][29]:0.000000	[1][5][29]:0.000000)=0.000000
op[0][2][30]=Max([0][4][30]:0.000000	[0][5][30]:0.000000	[1][4][30]:0.000000	[1][5][30]:0.000000)=0.000000
op[0][2][31]=Max([0][4][31]:0.000000	[0][5][31]:0.000000	[1][4][31]:0.000000	[1][5][31]:0.000000)=0.000000
op[0][3][0]=Max([0][6][0]:0.000000	[0][7][0]:0.000000	[1][6][0]:0.000000	[1][7][0]:0.000000)=0.000000
op[0][3][1]=Max([0][6][1]:0.000000	[0][7][1]:0.000000	[1][6][1]:0.000000	[1][7][1]:0.000000)=0.000000
op[0][3][2]=Max([0][6][2]:0.000000	[0][7][2]:0.000000	[1][6][2]:0.000000	[1][7][2]:0.000000)=0.000000
op[0][3][3]=Max([0][6][3]:0.000000	[0][7][3]:0.000000	[1][6][3]:0.000000	[1][7][3]:0.000000)=0.000000
op[0][3][4]=Max([0][6][4]:0.000000	[0][7][4]:0.000000	[1][6][4]:0.000000	[1][7][4]:0.000000)=0.000000
op[0][3][5]=Max([0][6][5]:0.000000	[0][7][5]:0.000000	[1][6][5]:0.000000	[1][7][5]:0.000000)=0.000000
op[0][3][6]=Max([0][6][6]:0.068489	[0][7][6]:0.068489	[1][6][6]:0.068489	[1][7][6]:0.068489)=0.068489
op[0][3][7]=Max([0][6][7]:0.000000	[0][7][7]:0.000000	[1][6][7]:0.000000	[1][7][7]:0.000000)=0.000000
op[0][3][8]=Max([0][6][8]:0.000000	[0][7][8]:0.000000	[1][6][8]:0.000000	[1][7][8]:0.000000)=0.000000
op[0][3][9]=Max([0][6][9]:0.015651	[0][7][9]:0.015651	[1][6][9]:0.015651	[1][7][9]:0.015651)=0.015651
op[0][3][10]=Max([0][6][10]:0.000000	[0][7][10]:0.000000	[1][6][10]:0.000000	[1][7][10]:0.000000)=0.000000
